date,total_sales
2020-08-01,1302.99
2020-08-02,1158.32
2020-08-03,1319.79
2020-08-04,1090.34
2020-08-05,1171.05
2020-08-06,1134.07
2020-08-07,1219.46
2020-08-08,1554.66
2020-08-09,927.66
2020-08-10,1310.96
2020-08-11,966.38
2020-08-12,1137.75
2020-08-13,1372.14
2020-08-14,1218.68
2020-08-15,1047.61
2020-08-16,1102.2
2020-08-17,1311.66
2020-08-18,1100.37
2020-08-19,1242.6
2020-08-20,1217.16
2020-08-21,1112.77
2020-08-22,1532.29
2020-08-23,1305.95
2020-08-24,907.26
2020-08-25,1239.15
2020-08-26,1112.07
2020-08-27,1339.34
2020-08-28,1092.73
2020-08-29,1194.52
2020-08-30,1287.6
2020-08-31,1341.82
2020-09-01,1032.02
2020-09-02,1161.98
2020-09-03,1141.0
2020-09-04,1114.32
2020-09-05,1477.2
2020-09-06,1273.19
2020-09-07,1023.37
2020-09-08,1350.23
2020-09-09,1530.91
2020-09-10,1367.48
2020-09-11,984.73
2020-09-12,1140.02
2020-09-13,1402.69
2020-09-14,1106.51
2020-09-15,1279.22
2020-09-16,1328.82
2020-09-17,1073.57
2020-09-18,1203.64
2020-09-19,726.34
2020-09-20,1058.82
2020-09-21,1174.54
2020-09-22,1025.19
2020-09-23,1457.15
2020-09-24,997.69
2020-09-25,1146.11
2020-09-26,1231.63
2020-09-27,1428.11
2020-09-28,996.43
2020-09-29,1386.16
2020-09-30,1213.1
2020-10-01,1064.2
2020-10-02,1280.6
2020-10-03,1240.99
2020-10-04,1120.94
2020-10-05,1221.28
2020-10-06,1152.84
2020-10-07,1227.48
2020-10-08,1309.58
2020-10-09,1447.97
2020-10-10,1024.19
2020-10-11,1529.6
2020-10-12,916.61
2020-10-13,1186.43
2020-10-14,1297.21
2020-10-15,1250.87
2020-10-16,1115.06
2020-10-17,1176.99
2020-10-18,1133.99
2020-10-19,1119.26
2020-10-20,1334.83
2020-10-21,1260.65
2020-10-22,1102.86
2020-10-23,1341.44
2020-10-24,1252.28
2020-10-25,1327.79
2020-10-26,1299.98
2020-10-27,1080.85
2020-10-28,1120.83
2020-10-29,1316.6
2020-10-30,1295.71
2020-10-31,1200.65
2020-11-01,1221.01
2020-11-02,1394.68
2020-11-03,1113.91
2020-11-04,1284.32
2020-11-05,1171.52
2020-11-06,1168.79
2020-11-07,1365.84
2020-11-08,1324.41
2020-11-09,1322.2
2020-11-10,1395.55
2020-11-11,1202.44
2020-11-12,1301.13
2020-11-13,1151.83
2020-11-14,1246.53
2020-11-15,1177.91
2020-11-16,1211.5
2020-11-17,1285.73
2020-11-18,1073.23
2020-11-19,1509.32
2020-11-20,1044.05
2020-11-21,1012.31
2020-11-22,1367.63
2020-11-23,1312.13
2020-11-24,1286.46
2020-11-25,1286.55
2020-11-26,1189.91
2020-11-27,1056.6
2020-11-28,1201.99
2020-11-29,1088.47
2020-11-30,1335.73
2020-12-01,1166.82
2020-12-02,1064.46
2020-12-03,1139.48
2020-12-04,1249.02
2020-12-05,1101.91
2020-12-06,1062.51
2020-12-07,1221.77
2020-12-08,1221.33
2020-12-09,1107.9
2020-12-10,1112.64
2020-12-11,1217.45
2020-12-12,964.77
2020-12-13,970.2
2020-12-14,1072.88
2020-12-15,1147.95
2020-12-16,1225.92
2020-12-17,1399.89
2020-12-18,1306.54
2020-12-19,1153.19
2020-12-20,1173.62
2020-12-21,1025.38
2020-12-22,1172.25
2020-12-23,1131.0
2020-12-24,1221.97
2020-12-25,1048.74
2020-12-26,1249.98
2020-12-27,1401.23
2020-12-28,1154.25
2020-12-29,1230.05
2020-12-30,1272.54
2020-12-31,1108.06
2021-01-01,1201.07
2021-01-02,1168.56
2021-01-03,1180.52
2021-01-04,1049.12
2021-01-05,1167.94
2021-01-06,1238.15
2021-01-07,1380.3
2021-01-08,1305.7
2021-01-09,1483.95
2021-01-10,1045.04
2021-01-11,1290.15
2021-01-12,1185.95
2021-01-13,1486.07
2021-01-14,1035.5
2021-01-15,1029.92
2021-01-16,1065.1
2021-01-17,835.55
2021-01-18,1074.39
2021-01-19,1038.5
2021-01-20,1174.04
2021-01-21,1201.85
2021-01-22,1431.11
2021-01-23,1291.34
2021-01-24,1061.33
2021-01-25,1012.19
2021-01-26,1219.82
2021-01-27,947.07
2021-01-28,1418.89
2021-01-29,1320.15
2021-01-30,1071.92
2021-01-31,884.38
2021-02-01,1343.48
2021-02-02,1122.26
2021-02-03,1324.16
2021-02-04,898.35
2021-02-05,1046.64
2021-02-06,1136.36
2021-02-07,1141.64
2021-02-08,1066.1
2021-02-09,1226.05
2021-02-10,971.49
2021-02-11,1109.28
2021-02-12,1147.68
2021-02-13,1205.8
2021-02-14,1234.37
2021-02-15,957.91
2021-02-16,895.48
2021-02-17,1316.22
2021-02-18,1173.39
2021-02-19,1010.24
2021-02-20,1354.15
2021-02-21,1137.79
2021-02-22,1296.3
2021-02-23,1128.48
2021-02-24,1426.42
2021-02-25,1379.55
2021-02-26,1077.85
2021-02-27,1259.87
2021-02-28,1209.88
2021-03-01,1317.3
2021-03-02,966.19
2021-03-03,1212.76
2021-03-04,1267.54
2021-03-05,843.88
2021-03-06,929.12
2021-03-07,799.64
2021-03-08,1064.02
2021-03-09,1210.96
2021-03-10,1327.59
2021-03-11,1112.25
2021-03-12,1344.32
2021-03-13,891.9
2021-03-14,842.3
2021-03-15,1088.36
2021-03-16,1153.19
2021-03-17,1089.55
2021-03-18,783.22
2021-03-19,1078.84
2021-03-20,895.41
2021-03-21,1190.4
2021-03-22,1143.8
2021-03-23,946.69
2021-03-24,1009.46
2021-03-25,926.51
2021-03-26,1074.85
2021-03-27,1226.38
2021-03-28,934.1
2021-03-29,1156.41
2021-03-30,1000.11
2021-03-31,959.56
2021-04-01,1061.28
2021-04-02,920.89
2021-04-03,991.97
2021-04-04,894.17
2021-04-05,1367.39
2021-04-06,1076.81
2021-04-07,965.39
2021-04-08,1101.27
2021-04-09,1051.15
2021-04-10,1033.68
2021-04-11,1157.77
2021-04-12,1178.09
2021-04-13,983.71
2021-04-14,975.73
2021-04-15,1019.66
2021-04-16,714.45
2021-04-17,831.27
2021-04-18,1262.39
2021-04-19,1302.92
2021-04-20,1017.62
2021-04-21,1140.27
2021-04-22,1099.28
2021-04-23,1513.23
2021-04-24,1218.14
2021-04-25,1029.82
2021-04-26,904.48
2021-04-27,805.65
2021-04-28,1075.93
2021-04-29,930.76
2021-04-30,829.68
2021-05-01,944.83
2021-05-02,878.38
2021-05-03,1292.48
2021-05-04,1170.45
2021-05-05,1035.8
2021-05-06,1257.79
2021-05-07,1046.19
2021-05-08,904.19
2021-05-09,1260.65
2021-05-10,1111.81
2021-05-11,874.18
2021-05-12,1000.01
2021-05-13,896.01
2021-05-14,818.73
2021-05-15,1163.87
2021-05-16,1310.15
2021-05-17,812.74
2021-05-18,1105.77
2021-05-19,922.52
2021-05-20,945.84
2021-05-21,928.84
2021-05-22,886.9
2021-05-23,1022.57
2021-05-24,889.44
2021-05-25,1053.45
2021-05-26,1004.14
2021-05-27,974.63
2021-05-28,873.14
2021-05-29,921.55
2021-05-30,1120.18
2021-05-31,1080.8
2021-06-01,857.83
2021-06-02,1018.17
2021-06-03,1114.78
2021-06-04,750.46
2021-06-05,1081.18
2021-06-06,899.09
2021-06-07,1082.88
2021-06-08,881.6
2021-06-09,724.17
2021-06-10,749.58
2021-06-11,999.73
2021-06-12,1030.29
2021-06-13,854.5
2021-06-14,1084.75
2021-06-15,738.55
2021-06-16,976.68
2021-06-17,803.76
2021-06-18,886.46
2021-06-19,990.17
2021-06-20,852.82
2021-06-21,923.03
2021-06-22,1130.48
2021-06-23,891.83
2021-06-24,1102.55
2021-06-25,806.58
2021-06-26,1054.34
2021-06-27,1189.94
2021-06-28,601.8
2021-06-29,851.85
2021-06-30,1056.79
2021-07-01,938.62
2021-07-02,1023.6
2021-07-03,876.18
2021-07-04,978.62
2021-07-05,941.14
2021-07-06,1138.52
2021-07-07,1000.37
2021-07-08,1011.71
2021-07-09,898.16
2021-07-10,885.67
2021-07-11,892.8
2021-07-12,1015.72
2021-07-13,892.28
2021-07-14,997.78
2021-07-15,1264.51
2021-07-16,1082.75
2021-07-17,902.07
2021-07-18,1130.04
2021-07-19,887.55
2021-07-20,641.94
2021-07-21,795.35
2021-07-22,664.84
2021-07-23,891.64
2021-07-24,946.04
2021-07-25,1193.66
2021-07-26,990.15
2021-07-27,907.17
2021-07-28,1063.37
2021-07-29,606.22
2021-07-30,972.16
2021-07-31,1051.39
2021-08-01,712.91
2021-08-02,1105.2
2021-08-03,983.36
2021-08-04,869.25
2021-08-05,1025.41
2021-08-06,1270.06
2021-08-07,955.69
2021-08-08,964.61
2021-08-09,857.45
2021-08-10,797.85
2021-08-11,1048.86
2021-08-12,794.88
2021-08-13,933.01
2021-08-14,849.62
2021-08-15,992.11
2021-08-16,969.31
2021-08-17,1073.9
2021-08-18,840.77
2021-08-19,875.81
2021-08-20,768.49
2021-08-21,847.68
2021-08-22,969.95
2021-08-23,1025.93
2021-08-24,773.1
2021-08-25,1040.9
2021-08-26,1112.85
2021-08-27,970.57
2021-08-28,1189.13
2021-08-29,790.6
2021-08-30,719.04
2021-08-31,638.0
2021-09-01,1128.29
2021-09-02,1001.11
2021-09-03,893.71
2021-09-04,943.13
2021-09-05,731.4
2021-09-06,1266.19
2021-09-07,917.82
2021-09-08,913.95
2021-09-09,1005.52
2021-09-10,967.93
2021-09-11,928.49
2021-09-12,775.47
2021-09-13,963.89
2021-09-14,1174.62
2021-09-15,1093.28
2021-09-16,1129.6
2021-09-17,813.09
2021-09-18,740.5
2021-09-19,869.24
2021-09-20,895.65
2021-09-21,1050.6
2021-09-22,631.79
2021-09-23,1114.28
2021-09-24,860.35
2021-09-25,819.22
2021-09-26,730.65
2021-09-27,633.45
2021-09-28,1004.38
2021-09-29,891.13
2021-09-30,685.87
2021-10-01,684.34
2021-10-02,827.48
2021-10-03,1127.45
2021-10-04,837.42
2021-10-05,650.15
2021-10-06,838.03
2021-10-07,833.26
2021-10-08,468.92
2021-10-09,864.6
2021-10-10,837.4
2021-10-11,975.77
2021-10-12,1148.0
2021-10-13,1038.95
2021-10-14,828.95
2021-10-15,702.64
2021-10-16,1253.95
2021-10-17,876.17
2021-10-18,868.73
2021-10-19,862.37
2021-10-20,895.07
2021-10-21,843.07
2021-10-22,778.04
2021-10-23,781.44
2021-10-24,857.95
2021-10-25,780.74
2021-10-26,754.73
2021-10-27,877.03
2021-10-28,822.23
2021-10-29,1085.5
2021-10-30,461.68
2021-10-31,1022.49
2021-11-01,1045.11
2021-11-02,546.64
2021-11-03,805.7
2021-11-04,800.85
2021-11-05,644.91
2021-11-06,738.84
2021-11-07,688.41
2021-11-08,1117.33
2021-11-09,994.34
2021-11-10,1044.22
2021-11-11,961.25
2021-11-12,683.16
2021-11-13,773.37
2021-11-14,924.99
2021-11-15,667.8
2021-11-16,957.62
2021-11-17,814.17
2021-11-18,793.56
2021-11-19,956.0
2021-11-20,915.57
2021-11-21,794.37
2021-11-22,1022.01
2021-11-23,685.55
2021-11-24,939.7
2021-11-25,935.89
2021-11-26,800.12
2021-11-27,895.1
2021-11-28,658.15
2021-11-29,984.06
2021-11-30,817.37
2021-12-01,766.36
2021-12-02,1001.78
2021-12-03,738.45
2021-12-04,632.52
2021-12-05,609.98
2021-12-06,934.07
2021-12-07,650.81
2021-12-08,1105.8
2021-12-09,530.01
2021-12-10,1096.5
2021-12-11,873.42
2021-12-12,827.0
2021-12-13,759.52
2021-12-14,900.88
2021-12-15,835.13
2021-12-16,1006.05
2021-12-17,857.47
2021-12-18,862.66
2021-12-19,785.37
2021-12-20,831.18
2021-12-21,885.7
2021-12-22,582.82
2021-12-23,636.95
2021-12-24,950.5
2021-12-25,864.48
2021-12-26,811.1
2021-12-27,841.32
2021-12-28,890.56
2021-12-29,757.33
2021-12-30,721.43
2021-12-31,867.45
2022-01-01,691.21
2022-01-02,899.11
2022-01-03,582.4
2022-01-04,992.08
2022-01-05,908.52
2022-01-06,875.97
2022-01-07,984.92
2022-01-08,1087.29
2022-01-09,989.58
2022-01-10,561.26
2022-01-11,645.43
2022-01-12,743.63
2022-01-13,841.26
2022-01-14,914.99
2022-01-15,728.49
2022-01-16,865.38
2022-01-17,724.08
2022-01-18,745.69
2022-01-19,626.46
2022-01-20,699.02
2022-01-21,634.81
2022-01-22,691.24
2022-01-23,995.74
2022-01-24,695.36
2022-01-25,1232.71
2022-01-26,911.95
2022-01-27,865.78
2022-01-28,709.41
2022-01-29,943.33
2022-01-30,752.06
2022-01-31,856.84
2022-02-01,1222.69
2022-02-02,824.42
2022-02-03,1011.38
2022-02-04,733.67
2022-02-05,834.08
2022-02-06,1105.12
2022-02-07,745.65
2022-02-08,1111.76
2022-02-09,946.26
2022-02-10,755.94
2022-02-11,935.39
2022-02-12,986.64
2022-02-13,934.26
2022-02-14,605.7
2022-02-15,732.41
2022-02-16,804.61
2022-02-17,830.84
2022-02-18,935.38
2022-02-19,869.22
2022-02-20,642.55
2022-02-21,900.18
2022-02-22,935.05
2022-02-23,927.74
2022-02-24,1006.21
2022-02-25,969.51
2022-02-26,913.63
2022-02-27,834.58
2022-02-28,596.31
2022-03-01,910.25
2022-03-02,877.33
2022-03-03,887.29
2022-03-04,655.42
2022-03-05,685.17
2022-03-06,1005.7
2022-03-07,842.19
2022-03-08,950.77
2022-03-09,853.21
2022-03-10,853.85
2022-03-11,990.57
2022-03-12,772.86
2022-03-13,865.13
2022-03-14,781.83
2022-03-15,786.47
2022-03-16,805.74
2022-03-17,885.91
2022-03-18,781.27
2022-03-19,1041.94
2022-03-20,719.89
2022-03-21,826.56
2022-03-22,789.14
2022-03-23,1072.67
2022-03-24,885.64
2022-03-25,1011.47
2022-03-26,634.41
2022-03-27,897.85
2022-03-28,991.8
2022-03-29,871.27
2022-03-30,1019.32
2022-03-31,782.49
2022-04-01,1072.07
2022-04-02,1206.1
2022-04-03,807.45
2022-04-04,795.66
2022-04-05,1081.11
2022-04-06,1100.66
2022-04-07,785.93
2022-04-08,801.97
2022-04-09,823.37
2022-04-10,664.63
2022-04-11,729.15
2022-04-12,717.0
2022-04-13,753.12
2022-04-14,863.77
2022-04-15,904.79
2022-04-16,1102.93
2022-04-17,721.3
2022-04-18,1019.41
2022-04-19,840.38
2022-04-20,865.78
2022-04-21,975.15
2022-04-22,706.25
2022-04-23,932.76
2022-04-24,901.11
2022-04-25,950.77
2022-04-26,921.03
2022-04-27,1246.72
2022-04-28,783.54
2022-04-29,800.33
2022-04-30,787.29
2022-05-01,798.23
2022-05-02,786.75
2022-05-03,1061.51
2022-05-04,1097.05
2022-05-05,799.18
2022-05-06,760.76
2022-05-07,957.16
2022-05-08,804.45
2022-05-09,983.06
2022-05-10,919.41
2022-05-11,662.46
2022-05-12,1122.81
2022-05-13,1160.93
2022-05-14,800.51
2022-05-15,835.15
2022-05-16,937.07
2022-05-17,945.25
2022-05-18,994.76
2022-05-19,1198.41
2022-05-20,871.24
2022-05-21,778.95
2022-05-22,692.72
2022-05-23,790.9
2022-05-24,896.51
2022-05-25,1171.59
2022-05-26,825.71
2022-05-27,937.87
2022-05-28,902.79
2022-05-29,1084.47
2022-05-30,1286.22
2022-05-31,828.51
2022-06-01,835.7
2022-06-02,1066.72
2022-06-03,1013.37
2022-06-04,1189.08
2022-06-05,1000.66
2022-06-06,860.18
2022-06-07,1003.68
2022-06-08,1082.4
2022-06-09,1040.18
2022-06-10,994.22
2022-06-11,1079.15
2022-06-12,1095.58
2022-06-13,1128.54
2022-06-14,1019.57
2022-06-15,898.24
2022-06-16,946.37
2022-06-17,1106.39
2022-06-18,803.93
2022-06-19,982.84
2022-06-20,869.61
2022-06-21,933.99
2022-06-22,1122.53
2022-06-23,960.51
2022-06-24,939.9
2022-06-25,730.05
2022-06-26,1047.06
2022-06-27,1033.04
2022-06-28,1261.81
2022-06-29,892.27
2022-06-30,972.42
2022-07-01,978.07
2022-07-02,1178.41
2022-07-03,928.62
2022-07-04,985.9
2022-07-05,1036.36
2022-07-06,974.31
2022-07-07,880.49
2022-07-08,977.72
2022-07-09,1110.8
2022-07-10,796.93
2022-07-11,972.01
2022-07-12,848.21
2022-07-13,1133.65
2022-07-14,727.08
2022-07-15,872.89
2022-07-16,1014.49
2022-07-17,1193.92
2022-07-18,950.41
2022-07-19,878.17
2022-07-20,1244.82
2022-07-21,746.63
2022-07-22,635.21
2022-07-23,1032.23
2022-07-24,892.12
2022-07-25,815.45
2022-07-26,1076.1
2022-07-27,1007.63
2022-07-28,887.66
2022-07-29,781.44
2022-07-30,1105.58
2022-07-31,1073.46
2022-08-01,962.28
2022-08-02,1255.38
2022-08-03,819.11
2022-08-04,752.02
2022-08-05,878.3
2022-08-06,976.49
2022-08-07,1021.07
2022-08-08,949.63
2022-08-09,1039.87
2022-08-10,800.58
2022-08-11,1206.13
2022-08-12,978.49
2022-08-13,1159.67
2022-08-14,1044.74
2022-08-15,1063.1
2022-08-16,1081.32
2022-08-17,1064.27
2022-08-18,1094.79
2022-08-19,1199.03
2022-08-20,1030.4
2022-08-21,1108.55
2022-08-22,990.01
2022-08-23,1220.76
2022-08-24,904.56
2022-08-25,1277.44
2022-08-26,1002.56
2022-08-27,795.25
2022-08-28,1030.36
2022-08-29,910.28
2022-08-30,1139.82
2022-08-31,917.12
2022-09-01,949.37
2022-09-02,734.16
2022-09-03,951.04
2022-09-04,656.59
2022-09-05,783.88
2022-09-06,1136.83
2022-09-07,1141.93
2022-09-08,1089.18
2022-09-09,881.61
2022-09-10,1020.8
2022-09-11,1028.72
2022-09-12,856.8
2022-09-13,1257.37
2022-09-14,1164.76
2022-09-15,1001.32
2022-09-16,1039.8
2022-09-17,1068.33
2022-09-18,732.12
2022-09-19,1002.6
2022-09-20,938.69
2022-09-21,892.05
2022-09-22,1001.43
2022-09-23,1314.56
2022-09-24,1142.34
2022-09-25,961.84
2022-09-26,1134.71
2022-09-27,1260.03
2022-09-28,1190.13
2022-09-29,1061.69
2022-09-30,957.01
2022-10-01,1160.09
2022-10-02,1115.69
2022-10-03,1192.25
2022-10-04,1154.55
2022-10-05,1218.01
2022-10-06,981.6
2022-10-07,1260.8
2022-10-08,1094.13
2022-10-09,1377.09
2022-10-10,963.72
2022-10-11,1328.8
2022-10-12,1099.39
2022-10-13,973.29
2022-10-14,999.72
2022-10-15,1025.55
2022-10-16,1138.53
2022-10-17,1154.62
2022-10-18,991.44
2022-10-19,1075.14
2022-10-20,1401.43
2022-10-21,1340.51
2022-10-22,1148.12
2022-10-23,1089.66
2022-10-24,1103.25
2022-10-25,1178.56
2022-10-26,934.4
2022-10-27,1050.5
2022-10-28,840.1
2022-10-29,1151.56
2022-10-30,1190.03
2022-10-31,1021.76
2022-11-01,1331.61
2022-11-02,912.92
2022-11-03,878.4
2022-11-04,1133.0
2022-11-05,1257.67
2022-11-06,1354.46
2022-11-07,1034.3
2022-11-08,1266.2
2022-11-09,1099.89
2022-11-10,1081.03
2022-11-11,1240.73
2022-11-12,1207.28
2022-11-13,874.23
2022-11-14,1333.42
2022-11-15,1320.2
2022-11-16,1020.6
2022-11-17,1175.05
2022-11-18,1191.02
2022-11-19,1157.26
2022-11-20,1036.85
2022-11-21,1019.88
2022-11-22,1118.03
2022-11-23,1299.0
2022-11-24,1205.85
2022-11-25,1069.94
2022-11-26,1242.51
2022-11-27,700.69
2022-11-28,1301.5
2022-11-29,869.44
2022-11-30,1077.24
2022-12-01,964.86
2022-12-02,939.81
2022-12-03,1309.33
2022-12-04,1066.25
2022-12-05,1189.57
2022-12-06,1131.74
2022-12-07,1211.52
2022-12-08,1152.67
2022-12-09,949.88
2022-12-10,1292.94
2022-12-11,1070.61
2022-12-12,912.35
2022-12-13,1082.79
2022-12-14,1373.28
2022-12-15,1276.86
2022-12-16,1098.18
2022-12-17,1099.24
2022-12-18,1104.52
2022-12-19,1465.42
2022-12-20,1212.34
2022-12-21,1220.69
2022-12-22,1311.85
2022-12-23,1194.25
2022-12-24,1120.7
2022-12-25,1131.22
2022-12-26,1151.05
2022-12-27,1157.31
2022-12-28,1273.14
2022-12-29,1172.89
2022-12-30,1276.09
2022-12-31,1155.18
2023-01-01,1180.17
2023-01-02,869.72
2023-01-03,1307.98
2023-01-04,1223.58
2023-01-05,1322.38
2023-01-06,739.3
2023-01-07,1488.05
2023-01-08,1154.91
2023-01-09,1343.13
2023-01-10,1021.96
2023-01-11,1270.9
2023-01-12,1022.01
2023-01-13,1087.49
2023-01-14,1469.18
2023-01-15,1154.5
2023-01-16,1216.73
2023-01-17,1315.63
2023-01-18,1260.48
2023-01-19,1209.69
2023-01-20,1242.87
2023-01-21,1549.62
2023-01-22,1181.45
2023-01-23,1221.24
2023-01-24,1349.65
2023-01-25,1358.85
2023-01-26,1372.03
2023-01-27,1290.75
2023-01-28,1024.44
2023-01-29,1441.85
2023-01-30,1025.83
2023-01-31,1244.11
2023-02-01,1086.5
2023-02-02,1190.94
2023-02-03,1250.8
2023-02-04,1250.6
2023-02-05,1266.59
2023-02-06,1446.26
2023-02-07,1273.13
2023-02-08,1169.37
2023-02-09,1351.49
2023-02-10,1386.17
2023-02-11,1024.48
2023-02-12,1299.1
2023-02-13,1315.52
2023-02-14,1166.57
2023-02-15,1418.4
2023-02-16,1190.38
2023-02-17,1232.56
2023-02-18,1188.59
2023-02-19,1217.71
2023-02-20,1051.75
2023-02-21,1000.99
2023-02-22,1456.98
2023-02-23,1091.56
2023-02-24,1070.69
2023-02-25,897.17
2023-02-26,1125.11
2023-02-27,1023.27
2023-02-28,1468.8
2023-03-01,1374.73
2023-03-02,1120.78
2023-03-03,1562.62
2023-03-04,1372.76
2023-03-05,1177.5
2023-03-06,852.04
2023-03-07,1571.31
2023-03-08,1019.95
2023-03-09,982.28
2023-03-10,1383.17
2023-03-11,1596.44
2023-03-12,1438.81
2023-03-13,1316.43
2023-03-14,1321.73
2023-03-15,1361.19
2023-03-16,1347.68
2023-03-17,1276.67
2023-03-18,1250.76
2023-03-19,1226.38
2023-03-20,1123.31
2023-03-21,1194.92
2023-03-22,983.7
2023-03-23,1223.5
2023-03-24,1090.56
2023-03-25,1073.91
2023-03-26,1267.02
2023-03-27,1449.42
2023-03-28,1378.94
2023-03-29,1006.18
2023-03-30,1093.87
2023-03-31,1383.98
2023-04-01,1096.04
2023-04-02,1210.25
2023-04-03,1326.99
2023-04-04,1099.75
2023-04-05,1261.32
2023-04-06,1045.92
2023-04-07,1156.32
2023-04-08,1294.99
2023-04-09,1008.56
2023-04-10,1314.05
2023-04-11,1245.51
2023-04-12,1331.79
2023-04-13,1282.96
2023-04-14,1454.44
2023-04-15,1269.05
2023-04-16,1186.29
2023-04-17,1269.47
2023-04-18,1333.04
